model,accuracy,weighted_f1,macro_f1
XGBoost,0.981093373762597,0.9807882344834513,0.9573248552651158
Random Forest,0.9658432176937484,0.9645430836170038,0.9235003382801755
Linear SVM,0.9638812093106216,0.9638239876276484,0.9323710787750005
MLP Neural Network,0.9538928029965219,0.9533903542617506,0.9220036810182428
Logistic Regression,0.9477392312494426,0.9485123924443152,0.9108796754605907
Naive Bayes,0.8800499420315705,0.8748920426918954,0.7665123850878981
